4/18/15 12:40 AM
Statistica del projecto

              	Segmentos	Parolas	Characteres (sin spatios)	Characteres (includente spatios)	#Files	
Total:        	    26459	 217599	                  1207409	                         1385750	   112	
Restante:     	    10179	  80217	                   456648	                          517088	    24	
Unic:         	    14803	 141101	                   805378	                          919649	   101	
Unic restante:	     5510	  48314	                   297391	                          331544	    24	


Statistica individual del file:

Nomine del file                                                                	Segmentos total	Segmentos cetere	Segmentos unic	Segmentos unic cetere	Parolas total	Parolas cetere	Parolas unic	Parolas unic cetere	Characteres total (sin spatios)	Characteres cetere (sin spatios)	Characteres unic (sin spatios)	Characteres unic cetere (sin spatios)	Characteres total (includente spatios)	Characteres cetere (includente spatios)	Characteres unic (includente spatios)	Characteres unic cetere (includente spatios)	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\EditingBehavior.xml                	             58	               0	            57	                    0	          738	             0	         732	                  0	                           3836	                               0	                          3809	                                    0	                                  4515	                                      0	                                 4483	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\Dictionaries.xml                   	             32	               0	            30	                    0	          247	             0	         241	                  0	                           1453	                               0	                          1408	                                    0	                                  1676	                                      0	                                 1627	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\App_Website.xml                    	             44	               0	            38	                    0	          419	             0	         394	                  0	                           2449	                               0	                          2202	                                    0	                                  2776	                                      0	                                 2529	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\App_Tokenizer_plugin.xml           	             37	               0	            36	                    0	          522	             0	         521	                  0	                           3229	                               0	                          3217	                                    0	                                  3689	                                      0	                                 3677	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\App_TeamProjects.xml               	            102	               0	           101	                    0	         1534	             0	        1532	                  0	                           7880	                               0	                          7857	                                    0	                                  9315	                                      0	                                 9292	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\App_ShortCutCustomization.xml      	            256	               0	           169	                    0	          872	             0	         683	                  0	                           6416	                               0	                          5260	                                    0	                                  6948	                                      0	                                 5688	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\App_Scripting_plugin.xml           	             46	               0	            40	                    0	          549	             0	         548	                  0	                           3052	                               0	                          3035	                                    0	                                  3564	                                      0	                                 3547	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\App_LegalNotices.xml               	             22	               0	            18	                    0	          297	             0	         290	                  0	                           1672	                               0	                          1615	                                    0	                                  1947	                                      0	                                 1887	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\App_LanguageTool_plugin.xml        	             20	               0	            15	                    0	          225	             0	         182	                  0	                           1252	                               0	                          1001	                                    0	                                  1450	                                      0	                                 1165	                                           0	
OmegaT_2.6.3_10_L10N_Full\source\doc_src\en\App_Languages.xml                  	            562	               0	           548	                    0	          656	             0	         642	                  0	                           2846	                               0	                          2760	                                    0	                                  2932	                                      0	                                 2846	                                           0	
