4/23/15 8:39 PM
Statistica del projecto

              	Segmentos	Parolas	Characteres (sin spatios)	Characteres (includente spatios)	#Files	
Total:        	    27456	 223981	                  1243128	                         1426710	   118	
Restante:     	    10483	  82648	                   470502	                          532997	    29	
Unic:         	    14305	 135362	                   775911	                          885042	    76	
Unic restante:	     5527	  47893	                   295470	                          329191	    16	


Statistica individual del file:

Nomine del file                                                               	Segmentos total	Segmentos cetere	Segmentos unic	Segmentos unic cetere	Parolas total	Parolas cetere	Parolas unic	Parolas unic cetere	Characteres total (sin spatios)	Characteres cetere (sin spatios)	Characteres unic (sin spatios)	Characteres unic cetere (sin spatios)	Characteres total (includente spatios)	Characteres cetere (includente spatios)	Characteres unic (includente spatios)	Characteres unic cetere (includente spatios)	
Bitext2tmx_en.odt                                                             	             32	               0	            30	                    0	          441	             0	         438	                  0	                           2126	                               0	                          2104	                                    0	                                  2529	                                      0	                                 2505	                                           0	
Apertium_VirtualBox.UTF8                                                      	             61	               0	            54	                    0	          525	             0	         518	                  0	                           3002	                               0	                          2988	                                    0	                                  3449	                                      0	                                 3435	                                           0	
latest-china-revolution-seeks-great-leap-for-clean-energy.html.UTF8           	           2153	            2090	          1214	                 1209	        13598	         13583	       11413	              11398	                         101942	                          101797	                         86386	                                86299	                                107073	                                 106917	                                91021	                                       90923	
OmegaT_3.4_L10N_Full\source\doc_src\en\AboutOmegaT.xml                        	             56	               0	            56	                    0	          965	             0	         965	                  0	                           5335	                               0	                          5335	                                    0	                                  6247	                                      0	                                 6247	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\App_Aknowledgements.xml                	             15	               0	            15	                    0	          197	             0	         197	                  0	                           1033	                               0	                          1033	                                    0	                                  1211	                                      0	                                 1211	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\App_Keyboard.xml                       	             60	               0	            60	                    0	          473	             0	         473	                  0	                           2227	                               0	                          2227	                                    0	                                  2607	                                      0	                                 2607	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\App_Languages.xml                      	            562	               0	           560	                    0	          656	             0	         654	                  0	                           2846	                               0	                          2842	                                    0	                                  2932	                                      0	                                 2928	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\App_LanguageTool_plugin.xml            	             20	               0	            19	                    0	          201	             0	         200	                  0	                           1118	                               0	                          1106	                                    0	                                  1296	                                      0	                                 1284	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\App_LegalNotices.xml                   	             22	               0	            17	                    0	          313	             0	         305	                  0	                           1780	                               0	                          1714	                                    0	                                  2071	                                      0	                                 2002	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\App_Scripting_plugin.xml               	             38	               0	            30	                    0	          361	             0	         359	                  0	                           2017	                               0	                          1992	                                    0	                                  2353	                                      0	                                 2328	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\App_ShortCutCustomization.xml          	            291	               0	           261	                    0	          944	             0	         884	                  0	                           7194	                               0	                          6883	                                    0	                                  7750	                                      0	                                 7407	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\App_TeamProjects.xml                   	            102	               0	           101	                    0	         1534	             0	        1532	                  0	                           7880	                               0	                          7857	                                    0	                                  9315	                                      0	                                 9292	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\App_Tokenizer_plugin.xml               	             23	               0	            20	                    0	          238	             0	         235	                  0	                           1402	                               0	                          1363	                                    0	                                  1619	                                      0	                                 1580	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\App_Website.xml                        	             44	               0	            44	                    0	          419	             0	         419	                  0	                           2449	                               0	                          2449	                                    0	                                  2776	                                      0	                                 2776	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\Dictionaries.xml                       	             32	               0	            31	                    0	          247	             0	         246	                  0	                           1453	                               0	                          1441	                                    0	                                  1676	                                      0	                                 1664	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\EditingBehavior.xml                    	             65	               0	            64	                    0	          856	             0	         831	                  0	                           4447	                               0	                          4315	                                    0	                                  5231	                                      0	                                 5075	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\FileFilters.xml                        	            156	               0	           150	                    0	         1960	             0	        1874	                  0	                          10486	                               0	                         10024	                                    0	                                 12289	                                      0	                                11745	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\FilesAndFolders.xml                    	            153	               0	           149	                    0	         1477	             0	        1469	                  0	                           8092	                               0	                          8031	                                    0	                                  9412	                                      0	                                 9347	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\FilesToTranslate.xml                   	            128	               0	           127	                    0	         1456	             0	        1452	                  0	                           7465	                               0	                          7445	                                    0	                                  8796	                                      0	                                 8773	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\FormattedText.xml                      	            118	               0	           115	                    0	         1430	             0	        1427	                  0	                           7336	                               0	                          7312	                                    0	                                  8640	                                      0	                                 8616	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\Glossaries.xml                         	             87	               2	            86	                    2	         1193	            34	        1192	                 34	                           5995	                             171	                          5985	                                  171	                                  7095	                                    203	                                 7085	                                         203	
OmegaT_3.4_L10N_Full\source\doc_src\en\InstallingAndRunning.xml               	            347	              18	           317	                   18	         4024	           224	        3800	                224	                          21348	                            1349	                         20148	                                 1349	                                 24866	                                   1535	                                23476	                                        1535	
OmegaT_3.4_L10N_Full\source\doc_src\en\InstantStartGuide.xml                  	             47	               0	            46	                    0	          760	             0	         756	                  0	                           3649	                               0	                          3607	                                    0	                                  4341	                                      0	                                 4299	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\license.txt                            	            650	               0	           627	                    0	         5658	             0	        5633	                  0	                          28638	                               0	                         28565	                                    0	                                 33636	                                      0	                                33561	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\MachineTranslation.xml                 	             86	              17	            80	                   15	         1110	           191	        1092	                183	                           6145	                            1068	                          5987	                                 1005	                                  7156	                                   1235	                                 6995	                                        1171	
OmegaT_3.4_L10N_Full\source\doc_src\en\Menu.xml                               	            431	              74	           312	                   74	         2969	           721	        2663	                721	                          15599	                            3940	                         13812	                                 3940	                                 18134	                                   4579	                                16160	                                        4579	
OmegaT_3.4_L10N_Full\source\doc_src\en\Miscelanea.xml                         	             98	               0	            86	                    0	         1104	             0	        1019	                  0	                           5902	                               0	                          5430	                                    0	                                  6875	                                      0	                                 6341	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\OmegaTUsersManual_xinclude full.xml    	              6	               1	             5	                    1	           28	             4	          27	                  4	                            155	                              21	                           153	                                   21	                                   178	                                     25	                                  176	                                          25	
OmegaT_3.4_L10N_Full\source\doc_src\en\PlainText.xml                          	             33	               0	            31	                    0	          506	             0	         498	                  0	                           2457	                               0	                          2413	                                    0	                                  2926	                                      0	                                 2876	                                           0	
OmegaT_3.4_L10N_Full\source\doc_src\en\ProjectProperties.xml                  	             63	              19	            58	                   19	          925	           259	         918	                259	                           4979	                            1433	                          4917	                                 1433	                                  5839	                                   1669	                                 5775	                                        1669	
OmegaT_3.4_L10N_Full\source\doc_src\en\Regexp.xml                             	            167	               0	           145	                    0	          797	             0	         728	                  0	                           4203	                               0	                          3788	                                    0	                                  4806	                                      0	                                 4352	                                           0	
